キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,189,1,政党助成法を廃止する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC139E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905001.htm,衆法,189,1,政党助成法を廃止する法律案,穀田　恵二君,,／,,平成28年 9月26日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,10,放送法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC0A62.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905010.htm,衆法,189,10,放送法の一部を改正する法律案,逢坂　誠二君外二名,,／,,平成28年 9月26日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,13,農業者戸別所得補償法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13AA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905013.htm,衆法,189,13,農業者戸別所得補償法案,岸本　周平君外五名,,／,,平成28年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,14,農地・水等共同活動の促進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13AE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905014.htm,衆法,189,14,農地・水等共同活動の促進に関する法律案,岸本　周平君外五名,,／,,平成28年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,15,中山間地域その他の条件不利地域における農業生産活動の継続の促進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13B2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905015.htm,衆法,189,15,中山間地域その他の条件不利地域における農業生産活動の継続の促進に関する法律案,岸本　周平君外五名,,／,,平成28年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,16,環境保全型農業の促進を図るための交付金の交付に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13B6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905016.htm,衆法,189,16,環境保全型農業の促進を図るための交付金の交付に関する法律案,岸本　周平君外五名,,／,,平成28年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,17,政治資金規正法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13A2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905017.htm,衆法,189,17,政治資金規正法の一部を改正する法律案,穀田　恵二君,,／,,平成28年 9月26日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,19,国民経済及び国民生活に重大な影響を及ぼすおそれのある通商に係る交渉に関する情報の提供の促進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC09A6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905019.htm,衆法,189,19,国民経済及び国民生活に重大な影響を及ぼすおそれのある通商に係る交渉に関する情報の提供の促進に関する法律案,岸本　周平君外三名,,／,,平成28年 9月26日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,20,特定複合観光施設区域の整備の推進に関する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC09D6.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905020.htm,衆法,189,20,特定複合観光施設区域の整備の推進に関する法律案,細田　博之君外七名,,／,,平成28年 9月26日／内閣,平成28年12月 2日／修正,平成28年12月 6日／修正,多数,自由民主党・無所属の会; 日本維新の会,日本共産党,,／,平成28年12月 6日,平成28年12月 7日／内閣,平成28年12月13日／修正,平成28年12月14日／修正,平成28年12月26日／115
衆法の一覧,,189,20,特定複合観光施設区域の整備の推進に関する法律案,参議院回付案（同意）,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC23AA.htm,,,衆法,189,20,特定複合観光施設区域の整備の推進に関する法律案,,,／,平成28年12月14日,／,／,平成28年12月15日／同意,多数,自由民主党・無所属の会; 日本維新の会,民進党・無所属クラブ; 日本共産党; 自由党; 社会民主党・市民連合,,／,,／,／,／,／
衆法の一覧,,189,30,原子力災害対策特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC146A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905030.htm,衆法,189,30,原子力災害対策特別措置法の一部を改正する法律案,田嶋　要君外三名,,／,,平成28年 9月26日／環境,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,31,歳入庁の設置による内国税並びに労働保険料及び年金保険料等の徴収に関する業務の効率化等の推進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC09BE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905031.htm,衆法,189,31,歳入庁の設置による内国税並びに労働保険料及び年金保険料等の徴収に関する業務の効率化等の推進に関する法律案,今井　雅人君外五名,,／,,平成28年 9月26日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,32,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13BA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905032.htm,衆法,189,32,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,岸本　周平君外五名,,／,,平成28年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,33,国有林野事業に従事する職員の給与等に関する特例法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC13EE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905033.htm,衆法,189,33,国有林野事業に従事する職員の給与等に関する特例法案,岸本　周平君外五名,,／,,平成28年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,34,公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC135E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905034.htm,衆法,189,34,公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律の一部を改正する法律案,平野　博文君外三名,,／,,平成28年 9月26日／文部科学,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,190,3,国及び地方公共団体の責任ある財政運営の確保を図るための財政の健全化の推進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC134A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19005003.htm,衆法,190,3,国及び地方公共団体の責任ある財政運営の確保を図るための財政の健全化の推進に関する法律案,前原　誠司君外三名,,／,,平成28年 9月26日／財務金融,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,190,4,領域等の警備に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC144E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19005004.htm,衆法,190,4,領域等の警備に関する法律案,大島　敦君外十一名,,／,,平成28年 9月26日／安全保障,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,190,5,周辺事態に際して我が国の平和及び安全を確保するための措置に関する法律及び周辺事態に際して実施する船舶検査活動に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC1452.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19005005.htm,衆法,190,5,周辺事態に際して我が国の平和及び安全を確保するための措置に関する法律及び周辺事態に際して実施する船舶検査活動に関する法律の一部を改正する法律案,大島　敦君外十一名,,／,,平成28年 9月26日／安全保障,／,／閉会中審査,,,,,／,,／,／,／,／
